rel_id,start_id,end_id,start_label,end_label,relationship_type,alt_material,perf_loss_pct,cost_factor,feasibility,note,source_ref_id,evidence_type,external_source_url,evidence_date,last_reviewed,confidence_score,confidence_band
FSM_Fe_FP_01,Fe_FP_01,ALT_MAT_0001,FunctionPosition,AltMaterialOption,SUB_MATERIAL,铝合金,40,3.5,NOW,密度优势但强度损失大,Fe_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Fe_FP_02,Fe_FP_02,ALT_MAT_0002,FunctionPosition,AltMaterialOption,SUB_MATERIAL,非晶合金铁芯,-15,4.0,NOW,损耗更低但价格高4倍,Fe_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Fe_FP_03,Fe_FP_03,ALT_MAT_0003,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Mn替代→LMFP提升至190mAh/g,-12,1.1,NOW,,Fe_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Fe_FP_04,Fe_FP_04,ALT_MAT_0004,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Ru基催化剂,-50,200.0,SPECIAL_CASES,,Fe_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Al_FP_01,Al_FP_01,ALT_MAT_0005,FunctionPosition,AltMaterialOption,SUB_MATERIAL,CFRP,-20,10.0,NOW,比强度更优但成本高10倍,Al_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Al_FP_02,Al_FP_02,ALT_MAT_0006,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Cu,-40,0.35,NOW,Al主导高压输电，Cu主导低压精密,Al_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Al_FP_03,Al_FP_03,ALT_MAT_0007,FunctionPosition,AltMaterialOption,SUB_MATERIAL,无金属可替代（Cu无法用于高压正极）,999,,INFEASIBLE,,Al_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Al_FP_04,Al_FP_04,ALT_MAT_0008,FunctionPosition,AltMaterialOption,SUB_MATERIAL,SiO₂、TiO₂载体,20,,NOW,特定催化反应可替代,Al_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_C_FP_01,C_FP_01,ALT_MAT_0001,FunctionPosition,AltMaterialOption,SUB_MATERIAL,铝合金,85,0.1,NOW,,C_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_C_FP_02,C_FP_02,ALT_MAT_0009,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Si@C复合负极,-80,3.0,NEAR,理论3590 mAh/g但膨胀300%，TRL 7-8,C_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_C_FP_03,C_FP_03,ALT_MAT_0010,FunctionPosition,AltMaterialOption,SUB_MATERIAL,GaN（高频优势）,0,1.2,NOW,GaN在高频/中压有优势，SiC在高压直流场景更优,C_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_C_FP_04,C_FP_04,ALT_MAT_0011,FunctionPosition,AltMaterialOption,SUB_MATERIAL,氢（H₂还原）,0,3.0,NEAR,氢还原钢铁TRL 6-7，2030年前商业化,C_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_H_FP_01,H_FP_01,ALT_MAT_0012,FunctionPosition,AltMaterialOption,SUB_MATERIAL,锂电池直接驱动,0,0.5,NOW,乘用车锂电竞争力更强；H₂优势在长途重卡/船舶/航空,H_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_H_FP_02,H_FP_02,ALT_MAT_0013,FunctionPosition,AltMaterialOption,SUB_MATERIAL,无（H₂是合成氨必需原料）,999,,INFEASIBLE,,H_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_H_FP_03,H_FP_03,ALT_MAT_0014,FunctionPosition,AltMaterialOption,SUB_MATERIAL,焦炭（传统高炉）,-100,3.0,NOW,成本是H₂还原3倍以上，但零碳,H_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Ti_FP_01,Ti_FP_01,ALT_MAT_0015,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Inconel高温合金,0,1.0,NOW,高温性能更好但比强度低,Ti_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Zr_FP_01,Zr_FP_01,ALT_MAT_0016,FunctionPosition,AltMaterialOption,SUB_MATERIAL,SiC复合材料（事故容错燃料ATF）,0,5.0,NEAR,TRL 5-6，2030年前商业化,Zr_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Hf_FP_01,Hf_FP_01,ALT_MAT_0017,FunctionPosition,AltMaterialOption,SUB_MATERIAL,La₂O₃/Al₂O₃等高k材料,10,2.0,NEAR,,Hf_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Hf_FP_02,Hf_FP_02,ALT_MAT_0018,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Ag-In-Cd合金（最常用）,0,0.3,NOW,,Hf_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_W_FP_01,W_FP_01,ALT_MAT_0019,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Al₂O₃/Si₃N₄陶瓷刀具,30,0.5,NOW,特定工况可用，韧性差,W_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Mo_FP_01,Mo_FP_01,ALT_MAT_0020,FunctionPosition,AltMaterialOption,SUB_MATERIAL,W/Re替代部分Mo（更高温强度）,0,10.0,SPECIAL,,Mo_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_V_FP_01,V_FP_01,ALT_MAT_0021,FunctionPosition,AltMaterialOption,SUB_MATERIAL,铁铬液流电池（成本更低）,30,0.6,NEAR,,V_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSM_Nb_FP_01,Nb_FP_01,ALT_MAT_0022,FunctionPosition,AltMaterialOption,SUB_MATERIAL,Ti微合金化（部分效果）,50,0.8,NOW,,Nb_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
