alt_material_id,alt_material,label
ALT_MAT_0001,铝合金,AltMaterialOption
ALT_MAT_0002,非晶合金铁芯,AltMaterialOption
ALT_MAT_0003,Mn替代→LMFP提升至190mAh/g,AltMaterialOption
ALT_MAT_0004,Ru基催化剂,AltMaterialOption
ALT_MAT_0005,CFRP,AltMaterialOption
ALT_MAT_0006,Cu,AltMaterialOption
ALT_MAT_0007,无金属可替代（Cu无法用于高压正极）,AltMaterialOption
ALT_MAT_0008,SiO₂、TiO₂载体,AltMaterialOption
ALT_MAT_0009,Si@C复合负极,AltMaterialOption
ALT_MAT_0010,GaN（高频优势）,AltMaterialOption
ALT_MAT_0011,氢（H₂还原）,AltMaterialOption
ALT_MAT_0012,锂电池直接驱动,AltMaterialOption
ALT_MAT_0013,无（H₂是合成氨必需原料）,AltMaterialOption
ALT_MAT_0014,焦炭（传统高炉）,AltMaterialOption
ALT_MAT_0015,Inconel高温合金,AltMaterialOption
ALT_MAT_0016,SiC复合材料（事故容错燃料ATF）,AltMaterialOption
ALT_MAT_0017,La₂O₃/Al₂O₃等高k材料,AltMaterialOption
ALT_MAT_0018,Ag-In-Cd合金（最常用）,AltMaterialOption
ALT_MAT_0019,Al₂O₃/Si₃N₄陶瓷刀具,AltMaterialOption
ALT_MAT_0020,W/Re替代部分Mo（更高温强度）,AltMaterialOption
ALT_MAT_0021,铁铬液流电池（成本更低）,AltMaterialOption
ALT_MAT_0022,Ti微合金化（部分效果）,AltMaterialOption
ALT_MAT_0023,Nb电容（NbO₂作为活性电极）,AltMaterialOption
ALT_MAT_0024,Pd替代部分Pt（已发生）；基金属（Mn/Cu）无法达标,AltMaterialOption
ALT_MAT_0025,Pt合金（PtCo/PtNi）减少Pt用量50-70%,AltMaterialOption
ALT_MAT_0026,RuO₂/TiO₂混合（降Ir）,AltMaterialOption
ALT_MAT_0027,铜浆（Cu paste）,AltMaterialOption
ALT_MAT_0028,Au（高可靠性）/ Cu-Be（弹性触点）,AltMaterialOption
ALT_MAT_0029,Cu键合线（已大量替代主流封装）,AltMaterialOption
ALT_MAT_0030,BTC（数字黄金叙事）,AltMaterialOption
ALT_MAT_0031,LiFSI（氟磺酰亚胺锂），性能更优,AltMaterialOption
ALT_MAT_0032,无（生物学意义上不可替代）,AltMaterialOption
ALT_MAT_0033,干法（等离子刻蚀）替代湿法HF（部分）,AltMaterialOption
ALT_MAT_0034,PVDF→水性粘结剂（电池）,AltMaterialOption
ALT_MAT_0035,有机涂层（环氧/聚氨酯）,AltMaterialOption
ALT_MAT_0036,低温焊料（Bi-Sn，138°C）,AltMaterialOption
ALT_MAT_0037,LiFePO4（48V轻混/起停系统）,AltMaterialOption
ALT_MAT_0038,铝合金（更成熟）,AltMaterialOption
ALT_MAT_0039,Mg喷吹（铁水脱硫）,AltMaterialOption
ALT_MAT_0040,HfO₂（高k，5nm以下必须替代SiO₂）,AltMaterialOption
ALT_MAT_0041,SiC（部分功率场景）,AltMaterialOption
ALT_MAT_0042,NONE_GENERAL_SUBSTITUTE,AltMaterialOption
ALT_MAT_0043,SmCo,AltMaterialOption
ALT_MAT_0044,FeN,AltMaterialOption
ALT_MAT_0045,高矫顽力NdFeB配方,AltMaterialOption
ALT_MAT_0046,非稀土催化剂,AltMaterialOption
ALT_MAT_0047,ZnS,AltMaterialOption
ALT_MAT_0048,Si,AltMaterialOption
ALT_MAT_0049,AZO,AltMaterialOption
ALT_MAT_0050,纳米银线,AltMaterialOption
ALT_MAT_0051,石墨烯,AltMaterialOption
ALT_MAT_0052,Na+,AltMaterialOption
ALT_MAT_0053,Mg2+,AltMaterialOption
ALT_MAT_0054,Al,AltMaterialOption
ALT_MAT_0055,CNT,AltMaterialOption
ALT_MAT_0056,复合铜箔,AltMaterialOption
ALT_MAT_0057,铝,AltMaterialOption
ALT_MAT_0058,金刚石铜复合,AltMaterialOption
ALT_MAT_0059,LFP,AltMaterialOption
ALT_MAT_0060,LMFP,AltMaterialOption
ALT_MAT_0061,NMC,AltMaterialOption
ALT_MAT_0062,GaAs,AltMaterialOption
ALT_MAT_0063,InP,AltMaterialOption
ALT_MAT_0064,Ge,AltMaterialOption
ALT_MAT_0065,CdTe,AltMaterialOption
ALT_MAT_0066,纯石墨,AltMaterialOption
ALT_MAT_0067,锡基,AltMaterialOption
