rel_id,start_id,end_id,start_label,end_label,relationship_type,alt_route,trl,years_to_scale,note,source_ref_id,evidence_type,external_source_url,evidence_date,last_reviewed,confidence_score,confidence_band
FSR_Fe_FP_01,Fe_FP_01,ALT_ROUTE_0001,FunctionPosition,AltRouteOption,SUB_ROUTE,CFRP,9,0.0,航空大量应用但成本差10-50倍,Fe_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Fe_FP_02,Fe_FP_02,ALT_ROUTE_0002,FunctionPosition,AltRouteOption,SUB_ROUTE,铁氧体(Mn-Zn),9,0.0,用于高频，低饱和磁感应强度,Fe_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Fe_FP_03,Fe_FP_03,ALT_ROUTE_0003,FunctionPosition,AltRouteOption,SUB_ROUTE,NMC三元（无Fe）,9,0.0,能量密度高但热稳定性差,Fe_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Fe_FP_04,Fe_FP_04,ALT_ROUTE_0004,FunctionPosition,AltRouteOption,SUB_ROUTE,电化学合成氨（N₂+H⁺）,4,15.0,,Fe_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Al_FP_01,Al_FP_01,ALT_ROUTE_0005,FunctionPosition,AltRouteOption,SUB_ROUTE,Mg合金（更轻）,8,2.0,密度仅Al的2/3但腐蚀控制难,Al_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Al_FP_02,Al_FP_02,ALT_ROUTE_0006,FunctionPosition,AltRouteOption,SUB_ROUTE,超导线（HTS）,6,15.0,,Al_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Al_FP_03,Al_FP_03,ALT_ROUTE_0007,FunctionPosition,AltRouteOption,SUB_ROUTE,固态电池（Ti/SS集流体可能替代）,5,10.0,,Al_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Al_FP_04,Al_FP_04,ALT_ROUTE_0008,FunctionPosition,AltRouteOption,SUB_ROUTE,MOF载体（金属有机框架）,5,10.0,,Al_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_C_FP_01,C_FP_01,ALT_ROUTE_0009,FunctionPosition,AltRouteOption,SUB_ROUTE,玄武岩纤维复材,7,3.0,强度约CFRP的60%，成本低50%,C_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_C_FP_02,C_FP_02,ALT_ROUTE_0010,FunctionPosition,AltRouteOption,SUB_ROUTE,固态Li金属负极（无石墨）,5,7.0,,C_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_C_FP_03,C_FP_03,ALT_ROUTE_0011,FunctionPosition,AltRouteOption,SUB_ROUTE,Si IGBT（成熟但性能低）,9,0.0,,C_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_C_FP_04,C_FP_04,ALT_ROUTE_0012,FunctionPosition,AltRouteOption,SUB_ROUTE,直接电还原（熔融氧化物电解）,4,15.0,,C_FP_04,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_H_FP_01,H_FP_01,ALT_ROUTE_0013,FunctionPosition,AltRouteOption,SUB_ROUTE,氨分解制氢+SOFC,5,8.0,,H_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_H_FP_02,H_FP_02,ALT_ROUTE_0014,FunctionPosition,AltRouteOption,SUB_ROUTE,电化学直接合成氨（无H₂）,3,20.0,,H_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_H_FP_03,H_FP_03,ALT_ROUTE_0015,FunctionPosition,AltRouteOption,SUB_ROUTE,直接电解铁（熔融氧化物电解MOE）,4,15.0,,H_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Ti_FP_01,Ti_FP_01,ALT_ROUTE_0016,FunctionPosition,AltRouteOption,SUB_ROUTE,CFRP（冷区结构）,9,0.0,,Ti_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Zr_FP_01,Zr_FP_01,ALT_ROUTE_0017,FunctionPosition,AltRouteOption,SUB_ROUTE,Al合金（研究堆，低功率）,9,0.0,,Zr_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Hf_FP_01,Hf_FP_01,ALT_ROUTE_0018,FunctionPosition,AltRouteOption,SUB_ROUTE,SiO₂（5nm以下绝对无法用）,999,999.0,物理边界，不可突破,Hf_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Hf_FP_02,Hf_FP_02,ALT_ROUTE_0019,FunctionPosition,AltRouteOption,SUB_ROUTE,B₄C（轻水堆）,9,0.0,,Hf_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_W_FP_01,W_FP_01,ALT_ROUTE_0020,FunctionPosition,AltRouteOption,SUB_ROUTE,CBN（立方氮化硼）刀具,9,0.0,更硬但更脆，用于超硬材料加工,W_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Mo_FP_01,Mo_FP_01,ALT_ROUTE_0021,FunctionPosition,AltRouteOption,SUB_ROUTE,陶瓷基复合材料（SiC/SiC CMC）,7,5.0,,Mo_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_V_FP_01,V_FP_01,ALT_ROUTE_0022,FunctionPosition,AltRouteOption,SUB_ROUTE,Li电池长时储能,9,0.0,Li成本下降与液流竞争激烈,V_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Nb_FP_01,Nb_FP_01,ALT_ROUTE_0023,FunctionPosition,AltRouteOption,SUB_ROUTE,TMCP（热机械控制工艺）结合其他元素,9,0.0,,Nb_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Ta_FP_01,Ta_FP_01,ALT_ROUTE_0024,FunctionPosition,AltRouteOption,SUB_ROUTE,MLCC（多层陶瓷电容，BaTiO₃）,9,0.0,高频性能更好，但大容量仍用Ta,Ta_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_PGM_FP_01,PGM_FP_01,ALT_ROUTE_0025,FunctionPosition,AltRouteOption,SUB_ROUTE,EV（零尾气排放）,9,0.0,,PGM_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_PGM_FP_02,PGM_FP_02,ALT_ROUTE_0026,FunctionPosition,AltRouteOption,SUB_ROUTE,Fe-N-C单原子催化（无Pt）,5,10.0,活性接近但稳定性差,PGM_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_PGM_FP_03,PGM_FP_03,ALT_ROUTE_0027,FunctionPosition,AltRouteOption,SUB_ROUTE,碱性电解（ALK，无贵金属）,9,0.0,成本低但电流密度低,PGM_FP_03,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Ag_FP_01,Ag_FP_01,ALT_ROUTE_0028,FunctionPosition,AltRouteOption,SUB_ROUTE,金属化图形印刷精度提升（减少Ag用量）,9,0.0,,Ag_FP_01,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
FSR_Ag_FP_02,Ag_FP_02,ALT_ROUTE_0029,FunctionPosition,AltRouteOption,SUB_ROUTE,固态继电器（无机械接触）,9,0.0,高频场景替代，但大电流仍需机械接触,Ag_FP_02,INTERNAL_STRUCTURED_SOURCE,,2026-03-16,2026-03-16,,
