rel_id,start_id,end_id,start_label,end_label,relationship_type,signal_type,signal_strength,impact_direction,time_sensitivity_level,impacted_scope,evidence_type,evidence_date,last_reviewed,confidence_score,confidence_band,clock_type
AFF_SIG_O_Fe_1,SIG_O_Fe_1,CL_O_Fe,StrategicSignal,Cluster,AFFECTS,TECH,M,UNCERTAIN,MEDIUM,铁/钢;绿色钢铁;取向硅钢;风电与储能结构件,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Fe_2,SIG_O_Fe_2,CL_O_Fe,StrategicSignal,Cluster,AFFECTS,REG,S,NEGATIVE,HIGH,铁/钢;绿色钢铁;取向硅钢;风电与储能结构件,GOV_REPORT,2026-01-14,2026-03-16,0.96,HIGH,
AFF_SIG_O_Fe_3,SIG_O_Fe_3,CL_O_Fe,StrategicSignal,Cluster,AFFECTS,DEMAND,M,POSITIVE,MEDIUM,铁/钢;绿色钢铁;取向硅钢;风电与储能结构件,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Al_1,SIG_O_Al_1,CL_O_Al,StrategicSignal,Cluster,AFFECTS,DEMAND,S,UNCERTAIN,MEDIUM,铝;电解铝;铝箔;轻量化与光伏边框,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_Al_2,SIG_O_Al_2,CL_O_Al,StrategicSignal,Cluster,AFFECTS,REG,M,MIXED,HIGH,铝;电解铝;铝箔;轻量化与光伏边框,GOV_REPORT,2026-01-14,2026-03-16,0.96,HIGH,
AFF_SIG_O_Al_3,SIG_O_Al_3,CL_O_Al,StrategicSignal,Cluster,AFFECTS,GEO,W,NEGATIVE,HIGH,铝;电解铝;铝箔;轻量化与光伏边框,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_C_1,SIG_O_C_1,CL_O_C,StrategicSignal,Cluster,AFFECTS,DEMAND,S,UNCERTAIN,MEDIUM,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.65,MEDIUM,
AFF_SIG_O_C_2,SIG_O_C_2,CL_O_C,StrategicSignal,Cluster,AFFECTS,TECH,M,UNCERTAIN,MEDIUM,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
AFF_SIG_O_C_3,SIG_O_C_3,CL_O_C,StrategicSignal,Cluster,AFFECTS,REG,M,NEGATIVE,HIGH,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,MULTI_SOURCE,2025-03-19,2026-03-16,0.96,HIGH,
AFF_SIG_O_C_4,SIG_O_C_4,CL_O_C,StrategicSignal,Cluster,AFFECTS,TECH,S,NEGATIVE,MEDIUM,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,INTERNAL_STRUCTURED_SOURCE,2026-03-16,2026-03-16,0.62,MEDIUM,
