rel_id,start_id,end_id,start_label,end_label,relationship_type,original_relation_type,role_label,weight,substitutability,note
RL_3001,SY_EV,IN_SYSTEM_INTEGRATION,System,IndustryNode,DEPLOYED_IN,LOCATED_IN,VEHICLE_OEM,5,LOW,整车集成
RL_3002,SY_EV,IN_COMPONENT_MFG,System,IndustryNode,DEPLOYED_IN,DEPENDS_ON,BATTERY_AND_ELECTRIC_DRIVE,5,LOW,需要电芯、电驱、功率电子
RL_3003,SY_BESS,IN_SYSTEM_INTEGRATION,System,IndustryNode,DEPLOYED_IN,LOCATED_IN,ENERGY_STORAGE_INTEGRATOR,5,LOW,系统集成
RL_3004,SY_BESS,IN_COMPONENT_MFG,System,IndustryNode,DEPLOYED_IN,DEPENDS_ON,CELL_PCS_PACK,5,LOW,电芯与PCS关键
RL_3005,SY_DATA_CENTER,IN_SYSTEM_INTEGRATION,System,IndustryNode,DEPLOYED_IN,LOCATED_IN,FACILITY_AND_IT_STACK,5,LOW,IT+供配电+散热一体
RL_3006,SY_PV_FARM,IN_SYSTEM_INTEGRATION,System,IndustryNode,DEPLOYED_IN,LOCATED_IN,EPC_AND_IPP,5,LOW,项目开发/建设/运营
RL_3007,SY_WIND_FARM,IN_SYSTEM_INTEGRATION,System,IndustryNode,DEPLOYED_IN,LOCATED_IN,WIND_OEM_AND_PROJECT,5,LOW,风机与项目开发
RL_3008,SY_HYDROGEN_PLANT,IN_SYSTEM_INTEGRATION,System,IndustryNode,DEPLOYED_IN,LOCATED_IN,HYDROGEN_PROJECT,4,MEDIUM,制氢站/工业氢项目
RL_3009,SY_EV,IN_RECYCLING,System,IndustryNode,DEPLOYED_IN,DEPENDS_ON,BATTERY_RECOVERY,4,MEDIUM,回收闭环重要
RL_3010,SY_WIND_FARM,IN_RECYCLING,System,IndustryNode,DEPLOYED_IN,DEPENDS_ON,MAGNET_RECYCLING,3,MEDIUM,退役磁材回收潜力
