function_id,source_origin,cluster_key,cluster_name,function_type,function_name,physical_basis_or_mechanism,performance_metric,performance_value,performance_unit,performance_ref,trl,key_apps,demand_proxy,substitution_score,substitution_note,label
Fe_FP_01,ONTOLOGY,CL_O_Fe,铁（Fe）,STRUCTURAL,结构承载（钢）,BCC/FCC相变赋予强度-韧性可调窗口；3d轨道与C形成固溶强化,极限抗拉强度,2700.0,MPa,马氏体时效钢,9.0,"钢结构建筑, 汽车车身, 轨道交通, 船舶, 机械制造",全球钢铁年产约19亿吨（2024），占所有金属产量90%+,2,大宗应用中可部分替代但总量不降,FunctionPosition
Fe_FP_02,ONTOLOGY,CL_O_Fe,铁（Fe）,MAGNETIC,软磁（硅钢/铁芯）,3d⁶未配对电子产生铁磁性；硅添加提高磁导率并降低涡流损耗,最大磁导率,100000.0,μH/m,取向硅钢,9.0,"变压器铁芯, 电机定子/转子, 电感器",取向硅钢年产约1400万吨（变压器电机主力）,3,,FunctionPosition
Fe_FP_03,ONTOLOGY,CL_O_Fe,铁（Fe）,ELECTROCHEMICAL,LFP正极活性物质（Fe²⁺/Fe³⁺）,Fe²⁺/Fe³⁺氧化还原对提供3.2-3.4V电位窗口；磷酸根骨架赋予热稳定性,理论比容量,170.0,mAh/g,LiFePO4,9.0,"储能电池, 商用车电池, 入门级EV",LFP正极年产约200万吨（2024），仍高速增长,3,,FunctionPosition
Fe_FP_04,ONTOLOGY,CL_O_Fe,铁（Fe）,CATALYTIC,合成氨铁基催化剂,Fe表面对N₂的解离吸附活性；促进剂K₂O调控电子密度,转化率,25.0,%（单程）,Haber-Bosch标准工艺,9.0,"合成氨（全球年产2亿吨）, 化肥, 基础化工",合成氨催化剂市场依赖Fe，但Fe本身成本极低,4,,FunctionPosition
Al_FP_01,ONTOLOGY,CL_O_Al,铝（Al）,STRUCTURAL,轻量化结构（铝合金）,Al密度2.7g/cm³（约Fe的1/3）；6xxx/7xxx系通过Mg-Si/Zn-Mg-Cu沉淀强化,比强度（σ/ρ）,220.0,kN·m/kg,7075-T6,9.0,"航空机身（40%用铝）, 新能源车车身, 轨道交通, 建筑型材",全球Al年产约7000万吨（2024）,2,,FunctionPosition
Al_FP_02,ONTOLOGY,CL_O_Al,铝（Al）,CONDUCTING,电力传输（输电线/母线）,导电率37.7×10⁶ S/m（Cu的61%）；密度仅Cu的30%——输电线比强度优于Cu,导电率,37700000.0,S/m,纯铝（1350合金）,9.0,"高压输电线, 变电站母线, 汽车线束（低压）",电网用铝约占全球Al消费15%,2,,FunctionPosition
Al_FP_03,ONTOLOGY,CL_O_Al,铝（Al）,ELECTROCHEMICAL,正极集流体（铝箔）,Al在正极高电位（4V以上）下形成致密Al₂O₃钝化层，不溶解于电解液；Cu在此电位溶解,厚度极限（电解工艺）,8.0,μm,电池级铝箔,9.0,锂电池正极集流体（全部锂电池）,锂电铝箔年需求约80万吨，高速增长,5,,FunctionPosition
Al_FP_04,ONTOLOGY,CL_O_Al,铝（Al）,CHEMICAL_BASE,催化剂载体（氧化铝）,γ-Al₂O₃大比表面积（200-400 m²/g）+酸性位点；热稳定性高,BET比表面积,400.0,m²/g,γ-Al₂O₃,9.0,"石化催化剂载体, 汽车三效催化器涂层, 吸附剂",活性氧化铝年产约300万吨,2,,FunctionPosition
C_FP_01,ONTOLOGY,CL_O_C,碳（C）,STRUCTURAL,高比强度结构（碳纤维复材）,碳纤维sp²共价键C-C强度（7GPa理论）；与树脂复合形成各向异性强化体,比强度,3500.0,kN·m/kg,T1000级碳纤维,9.0,"航空机身（波音787含53% CFRP）, 风电叶片, 体育器材, 汽车车顶/B柱",全球碳纤维年产约20万吨（2024），供不应求,4,航空航天不可替代，成本敏感场景被其他方案分流,FunctionPosition
C_FP_02,ONTOLOGY,CL_O_C,碳（C）,ELECTROCHEMICAL,锂电负极（石墨）,石墨层间距0.335nm，Li⁺嵌入形成LiC₆；理论比容量372 mAh/g；稳定SEI膜,理论比容量,372.0,mAh/g,LiC₆,9.0,"锂电负极（全部液态锂电池）, 双电层电容器（活性炭）",负极石墨年产约200万吨（2024），主要在中国,3,,FunctionPosition
