rel_id,start_id,end_id,start_label,end_label,relationship_type,original_relation_type,role_label,source_note,note
RFM_0001,Fe_FP_02,MT_ELECTRICAL_STEEL,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,SOFT_MAGNETIC_BASE,SEED,Fe软磁功能直接落到电工钢
RFM_0002,Fe_FP_03,MT_LFP_CATHODE,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,ACTIVE_CATHODE_FRAME,SEED,Fe2+/Fe3+红氧对落到LFP
RFM_0003,Al_FP_02,MT_AL_BUSBAR,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,POWER_TRANSMISSION,SEED,铝的输电功能落到母排
RFM_0004,Al_FP_03,MT_AL_FOIL,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,CURRENT_COLLECTOR,SEED,铝箔为正极集流体
RFM_0005,C_FP_02,MT_GRAPHITE_ANODE,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,ANODE_HOST,SEED,石墨负极
RFM_0006,C_FP_03,MT_SIC_WAFER,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,COMPOUND_SEMICONDUCTOR,SEED,SiC由Si+C共成
RFM_0007,Hf_FP_01,MT_SINGLE_CRYSTAL_SI,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,ADVANCED_LOGIC_STACK,SEED,与Si基先进制程耦合
RFM_0008,FN_NO_01,MT_GAN_EPI,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,WBG_SEMICONDUCTOR,SEED,GaN宽禁带半导体
RFM_0009,FN_AL_02,MT_AL_BUSBAR,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,LIGHTWEIGHT_CONDUCTOR,SEED,铝母排
RFM_0010,FN_AL_03,MT_AL_FOIL,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,BATTERY_COLLECTOR,SEED,铝箔
RFM_0011,FN_FE_02,MT_ELECTRICAL_STEEL,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,MAGNETIC_CORE_MATERIAL,SEED,电工钢
RFM_0012,FN_FE_03,MT_LFP_CATHODE,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,LFP_ACTIVE_MATERIAL,SEED,LFP正极
RFM_0013,FN_PF_01,MT_LFP_CATHODE,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,PHOSPHATE_FRAMEWORK,SEED,P/F中的P对应LFP骨架
RFM_0014,FN_TIZRHF_01,MT_TI_ALLOY,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,LIGHTWEIGHT_STRUCTURE,SEED,钛合金
RFM_0015,FN_REE_01,MT_NDFEB_MAGNET,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,MAIN_MAGNET_PHASE,SEED,永磁主磁相
RFM_0016,FN_REE_02,MT_NDFEB_MAGNET,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,HIGH_TEMP_COERCIVITY,SEED,重稀土硬化
RFM_0017,FN_PGM_02,MT_PT_CATALYST,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,FUEL_CELL_CATALYST,SEED,Pt燃料电池催化
RFM_0018,FN_PGM_02,MT_IR_ANODE_CATALYST,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,PEM_ANODE_CATALYST,SEED,Ir PEM阳极催化
RFM_0019,FN_LINA_01,MT_LFP_CATHODE,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,IONIC_CARRIER_SYSTEM,SEED,Li+载流体系进入LFP
RFM_0020,FN_LINA_01,MT_NCM_CATHODE,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,IONIC_CARRIER_SYSTEM,SEED,Li+载流体系进入NCM
RFM_0021,FN_CU_01,MT_CU_WIRE_ROD,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,BULK_CONDUCTOR,SEED,铜线杆
RFM_0022,FN_CU_02,MT_COPPER_FOIL,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,ANODE_COLLECTOR,SEED,铜箔
RFM_0023,FN_NICOMN_01,MT_NCM_CATHODE,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,HIGH_ENERGY_CATHODE,SEED,Ni/Co/Mn三元
RFM_0024,FN_SI_01,MT_SINGLE_CRYSTAL_SI,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,CMOS_BASE,SEED,逻辑器件基底
RFM_0025,FN_SI_02,MT_SI_PV_WAFER,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,PHOTOVOLTAIC_BASE,SEED,晶硅光伏硅片
RFM_0026,FN_SI_02,MT_POLY_SI_PV,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,UPSTREAM_PV_FEEDSTOCK,SEED,光伏多晶硅
RFM_0027,FN_SI_03,MT_SILICON_ANODE_BLEND,FunctionPosition,Material,ENABLES,ENABLES_MATERIAL,HIGH_CAPACITY_ANODE,SEED,硅碳负极
RFD_0001,H_FP_01,DV_FUEL_CELL_STACK,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,FUEL_CELL_POWER,SEED,PEMFC动力
RFD_0002,FN_H_01,DV_FUEL_CELL_STACK,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,ENERGY_CARRIER_TO_POWER,SEED,氢燃料电池
RFD_0003,FN_H_01,DV_PEM_ELECTROLYZER_STACK,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,HYDROGEN_VALUE_CHAIN,SEED,制氢-用氢链条
RFD_0004,Fe_FP_02,DV_TRANSFORMER,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,MAGNETIC_CORE,SEED,电工钢/铁芯
RFD_0005,Fe_FP_03,DV_LFP_STORAGE_CELL,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,ELECTROCHEMICAL_ACTIVE,SEED,LFP储能电芯
RFD_0006,FN_FE_03,DV_LFP_STORAGE_CELL,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,LFP_ACTIVE,SEED,LFP电芯
RFD_0007,FN_NO_01,DV_GAN_CHARGER_CHIP,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,GAN_DEVICE,SEED,GaN器件
RFD_0008,FN_GAGEIN_01,DV_GAN_CHARGER_CHIP,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,GAN_POWER_RF,SEED,GaN功率/射频
RFD_0009,C_FP_03,DV_SIC_MOSFET,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,SIC_SEMICONDUCTOR,SEED,SiC功率器件
RFD_0010,FN_PGM_02,DV_FUEL_CELL_STACK,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,PT_CATALYTIC_LAYER,SEED,燃料电池堆
RFD_0011,FN_PGM_02,DV_PEM_ELECTROLYZER_STACK,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,IR_ANODE_LAYER,SEED,PEM电解槽堆
RFD_0012,FN_REE_01,DV_EV_DRIVE_MOTOR,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,PERMANENT_MAGNET,SEED,EV驱动电机
RFD_0013,FN_REE_01,DV_WIND_PM_GENERATOR,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,PERMANENT_MAGNET,SEED,永磁风机
RFD_0014,FN_REE_02,DV_EV_DRIVE_MOTOR,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,HIGH_TEMP_MAGNET,SEED,高温抗退磁
RFD_0015,FN_REE_02,DV_WIND_PM_GENERATOR,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,HIGH_TEMP_MAGNET,SEED,高温抗退磁
RFD_0016,FN_LINA_01,DV_LI_ION_CELL_EV,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,LI_ION_CARRIER,SEED,动力电芯
RFD_0017,FN_LINA_01,DV_LFP_STORAGE_CELL,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,LI_ION_CARRIER,SEED,储能电芯
RFD_0018,FN_C_01,DV_LI_ION_CELL_EV,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,GRAPHITE_ANODE,SEED,石墨负极
RFD_0019,FN_C_01,DV_LFP_STORAGE_CELL,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,GRAPHITE_ANODE,SEED,石墨负极
RFD_0020,FN_CU_01,DV_TRANSFORMER,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,COPPER_WINDING,SEED,铜绕组
RFD_0021,FN_NICOMN_01,DV_LI_ION_CELL_EV,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,NCM_CATHODE_PATH,SEED,高能量密度动力电芯
RFD_0022,FN_SI_01,DV_CPU_LOGIC,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,CMOS_LOGIC,SEED,逻辑处理器
RFD_0023,FN_SI_02,DV_PV_CELL,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,PV_ABSORBER,SEED,晶硅电池片
RFD_0024,FN_SI_02,DV_PV_MODULE,FunctionPosition,Device,ENABLES,ENABLES_DEVICE,PV_GENERATION_MODULE,SEED,光伏组件
