clock_id,source_origin,cluster_key,clock_type,reasoning,ntrigger_applicable,supply_t_yr,unit_g,trigger_units,current_units,ratio,conclusion,source_ref_id,external_source_url,evidence_type,evidence_detail,evidence_date,last_reviewed,confidence_score,confidence_band,freshness_penalty,impact_direction,time_sensitivity_level,impacted_scope,label
CLK_O_Fe,ONTOLOGY,CL_O_Fe,C,铁是文明级别基础金属。供应充足，全球分布广泛。战略关注点是工艺转型（绿色钢铁），而非资源稀缺。,False,,,,,,Fe是文明时钟级别的基础骨架元素，当前最重要的战略信号不是供应安全，而是碳约束驱动的工艺转型（绿色钢铁）和取向硅钢等高价值细分市场的技术壁垒构建。,SRC_EXT_001,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en,GOV_REPORT,European Commission::European Commission CBAM official page,2026-01-14,2026-03-16,0.96,HIGH,0.0,POSITIVE,HIGH,铁/钢;绿色钢铁;取向硅钢;风电与储能结构件,StrategicClock
CLK_O_Al,ONTOLOGY,CL_O_Al,C,铝是文明级别基础金属，当前无供应安全问题。关键战略信号是新能源对铝箔（正极集流体）的不可替代需求增长和航空轻量化驱动。,False,,,,,,Al是文明时钟基础金属，投资价值在于高端细分（航空铝合金+锂电铝箔），而非原铝。锂电铝箔是Al在新能源场景中的不可替代功能位，是当前最值得关注的价值增长节点。,SRC_EXT_001,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en,GOV_REPORT,European Commission::European Commission CBAM official page,2026-01-14,2026-03-16,0.96,HIGH,0.0,POSITIVE,HIGH,铝;电解铝;铝箔;轻量化与光伏边框,StrategicClock
CLK_O_C,ONTOLOGY,CL_O_C,I,C的不同功能位时钟不同：石墨负极=文明时钟（产能过剩）；SiC=投资时钟（EV拉动）；碳纤维=投资时钟（航空/风电）；冶金焦炭=文明时钟向绿色转型过渡。整体框架以投资时钟为主。,False,,,,,,C是多功能位元素，每个功能位战略时钟不同。最值得关注的价值节点：SiC衬底（投资时钟，供不应求）和碳纤维（寡占格局，Toray/东丽深护城河）；石墨负极当前过剩，需等待Si负极切换带来的结构重组机会。,SRC_EXT_003,https://exportcontrol.mofcom.gov.cn/article/zcfg/gnzcfg/zcfggzqd/202310/912.html,GOV_REPORT,Ministry of Commerce of the PRC::MOFCOM graphite export control announcement,2023-10-20,2026-03-16,0.86,MEDIUM_HIGH,0.1,MIXED,HIGH,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,StrategicClock
CLK_O_H,ONTOLOGY,CL_O_H,I,绿氢成本2020年约6美元/kg，2030年目标2美元/kg（部分地区已<2美元）。投资时钟的触发点：绿氢在重工业场景（钢铁/化工/重卡）的成本平价约在2027-2032年。,True,95000000.0,1000000.0,200000000.0,1000000.0,200.0,H（氢）是投资时钟的新能源转型媒介元素，当前最关键约束是绿电成本（而非技术），2027-2032年是多个应用场景的成本平价窗口。最值得关注的价值节点：电解槽（Pt/Ir催化剂需求激增）和绿色DRI（钢铁脱碳必经路径）。,SRC_EXT_006,https://www.energy.gov/articles/clean-hydrogen-production-tax-credit-45v-resources,GOV_REPORT,U.S. Department of Energy::DOE Clean Hydrogen Production Tax Credit (45V) Resources,2024-01-01,2026-03-16,0.84,MEDIUM_HIGH,0.1,MIXED,HIGH,氢;电解槽;绿氢;钢铁/化工/重卡,StrategicClock
CLK_O_Ti_Zr_Hf,ONTOLOGY,CL_O_Ti_Zr_Hf,I+T,Ti：投资时钟——航空复苏+EV轻量化需求3-5年触发供需紧平衡；Hf：战术时钟——先进制程芯片依赖HfO₂，Hf年产仅80吨，半导体供应链安全已引起DoD关注。,True,80.0,0.001,80000000000000.0,20000000000.0,4000.0,Ti/Zr/Hf是三重战略元素簇，各有独特不可替代功能位：Ti是轻量化极端工况材料（投资时钟）；Zr是唯一可用于水冷核反应堆包壳的金属（核复兴催化剂）；Hf是先进制程芯片的不可绕过的物理约束（战术时钟，年产80吨是全球芯片文明的供应安全脆弱点）。,SRC_EXT_010,https://www.energy.gov/cmm/what-are-critical-minerals-and-materials,GOV_REPORT,U.S. Department of Energy::DOE critical materials list page,2025-03-19,2026-03-16,0.93,HIGH,0.0,MIXED,HIGH,Ti/Zr/Hf;航空材料;核电包壳;先进制程介质,StrategicClock
CLK_O_Cr_Mo_W_V_Nb_Ta,ONTOLOGY,CL_O_Cr_Mo_W_V_Nb_Ta,I+T,W/Mo=投资时钟（国防+制造业稳定增长）；Ta=战术时钟（刚果金地缘风险+电子需求）；V=投资时钟（液流电池拐点3-7年）；Nb=文明时钟（钢铁基础）,True,90000.0,20000.0,4500.0,200.0,22.5,Cr/Mo/W/V/Nb/Ta是极端工况和精密电子的战略元素族群，不同元素时钟差异大。最值得优先关注：V液流电池（投资时钟，N_trigger距触发22倍）、Ta供应链安全（刚果金地缘约束）、以及W硬质合金（被美国DoD指定为最高优先级关键矿物）。,SRC_EXT_010|SRC_EXT_012,https://www.energy.gov/cmm/what-are-critical-minerals-and-materials | https://eur-lex.europa.eu/EN/legal-content/summary/a-secure-and-sustainable-supply-of-critical-raw-materials.html,MULTI_SOURCE,U.S. Department of Energy::DOE critical materials list page ; EUR-Lex / European Union::EU Critical Raw Materials Act summary,2025-03-19,2026-03-16,0.94,HIGH,0.0,MIXED,HIGH,W/Mo/V/Nb/Ta;硬质合金;液流电池;电子电容,StrategicClock
CLK_O_PGM,ONTOLOGY,CL_O_PGM,I+T,Ir=战术时钟（PEM绿氢规模化即将触发Ir供应约束）；Rh=战术时钟（南非供应集中+汽车催化需求平稳但EV是长期威胁）；Pt/Pd=投资时钟（EV分流燃油车需求但H₂经济新增需求）,True,7.0,1500000.0,4.7,0.5,9.4,铂族元素在催化功能位的不可替代性世界第一，但需求端正在经历结构性重组：EV替代燃油车（减少Pd/Rh需求）与H₂经济兴起（增加Pt/Ir需求）同步发生。Ir是最值得战略关注的铂族元素——当前全球年产仅7吨，PEM绿氢的规模化将在2027-2030年触发严重供应瓶颈。,SRC_EXT_006,https://www.energy.gov/articles/clean-hydrogen-production-tax-credit-45v-resources,GOV_REPORT,U.S. Department of Energy::DOE Clean Hydrogen Production Tax Credit (45V) Resources,2024-01-01,2026-03-16,0.84,MEDIUM_HIGH,0.1,MIXED,HIGH,Pt/Pd/Rh/Ir;电解槽;燃料电池;汽车催化,StrategicClock
CLK_O_Ag_Au,ONTOLOGY,CL_O_Ag_Au,I,Ag=投资时钟（光伏银浆需求高增长 vs 铜浆替代的竞争压力，3-7年窗口期）；Au=文明时钟（储值功能稳定，工业用途被Cu/Ag替代趋势持续）,False,,,,,,Ag在光伏银浆功能位处于投资时钟与技术替代的交汇点——2024-2027年是银浆需求峰值期，之后铜浆逐步蚕食市场份额；Au在工业电子场景持续萎缩，但货币/储值功能和高可靠性军用场景维持稳定需求。光伏银浆企业（贺利氏/杜邦/苏州固锝）的技术路线选择是当前最值得跟踪的战略信号。,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.68,MEDIUM,0.0,MIXED,MEDIUM,Ag/Au;光伏银浆;高可靠电子,StrategicClock
CLK_O_P_F,ONTOLOGY,CL_O_P_F,I+T,F=战术时钟（中国萤石管制+PFAS监管双重触发）；P=投资时钟（LFP增长+峰值磷长期关注）,False,,,,,,P/F是电池化工和半导体制程的关键配位元素，当前最重要的战略信号是双重的：萤石中国出口管制（供应侧约束）+PFAS欧盟监管（需求侧替代驱动）共同压缩含氟产品的战略窗口。最值得关注的价值洼地：PFAS替代材料研发（监管驱动的市场结构重组）和电子级HF提纯能力（半导体供应链核心）。,SRC_EXT_010,https://www.energy.gov/cmm/what-are-critical-minerals-and-materials,GOV_REPORT,U.S. Department of Energy::DOE critical materials list page,2025-03-19,2026-03-16,0.93,HIGH,0.0,MIXED,HIGH,P/F;LFP/PVDF/HF;电池与含氟化工,StrategicClock
CLK_O_Zn_Sn_Pb,ONTOLOGY,CL_O_Zn_Sn_Pb,C→I,Zn/Pb=文明时钟（需求稳定但Pb面临结构性下降）；Sn=投资时钟（PCB/EV焊料增量需求+缅甸供应风险叠加）,False,,,,,,Zn/Sn/Pb是成熟工业元素簇，各自面临不同的战略态势：Zn（文明时钟，防腐需求稳定）；Sn（投资时钟，EV/AI PCB需求增长+缅甸供应风险）；Pb（文明时钟转衰退，监管+锂电替代是确定性趋势）。Sn是三者中唯一具有近期投资价值的元素。,SRC_EXT_007,https://eur-lex.europa.eu/EN/legal-content/summary/sustainability-rules-for-batteries-and-waste-batteries.html,GOV_REPORT,EUR-Lex / European Union::EU Batteries Regulation summary,2025-07-04,2026-03-16,0.94,HIGH,0.0,MIXED,HIGH,Zn/Sn/Pb;镀锌;焊料;铅酸电池,StrategicClock
