cluster_key,source_origin,source_cluster_id,cluster_name,cluster_scope,symbols_csv,icon,quantum_or_basis,pos_or_group,clock_type_default,cluster_note,label
CL_O_Fe,ONTOLOGY,Fe,铁（Fe）,COMPRESSED,Fe,⚙,n=1 l=2 m=基础工业全场景 s=+0.5→-0.5跨越,,C,Fe是文明时钟级别的基础骨架元素，当前最重要的战略信号不是供应安全，而是碳约束驱动的工艺转型（绿色钢铁）和取向硅钢等高价值细分市场的技术壁垒构建。,Cluster
CL_O_Al,ONTOLOGY,Al,铝（Al）,COMPRESSED,Al,✦,n=2 l=0 m=轻量化/电气化全场景 s=+0.5→-0.5,,C,Al是文明时钟基础金属，投资价值在于高端细分（航空铝合金+锂电铝箔），而非原铝。锂电铝箔是Al在新能源场景中的不可替代功能位，是当前最值得关注的价值增长节点。,Cluster
CL_O_C,ONTOLOGY,C,碳（C）,COMPRESSED,C,◈,n=2 l=1 m=储能/结构/半导体三分化 s=+0.5→-0.5,,I,C是多功能位元素，每个功能位战略时钟不同。最值得关注的价值节点：SiC衬底（投资时钟，供不应求）和碳纤维（寡占格局，Toray/东丽深护城河）；石墨负极当前过剩，需等待Si负极切换带来的结构重组机会。,Cluster
CL_O_H,ONTOLOGY,H,氢（H）,COMPRESSED,H,⬡,n=4 l=3 m=能源转型跨领域 s=-0.5下游应用,,I,H（氢）是投资时钟的新能源转型媒介元素，当前最关键约束是绿电成本（而非技术），2027-2032年是多个应用场景的成本平价窗口。最值得关注的价值节点：电解槽（Pt/Ir催化剂需求激增）和绿色DRI（钢铁脱碳必经路径）。,Cluster
CL_O_Ti_Zr_Hf,ONTOLOGY,Ti_Zr_Hf,钛锆铪（Ti/Zr/Hf）,COMPRESSED,"Ti,Zr,Hf",⬡,n=3 l=2 m=航空/核/芯片三重战略 s=-0.5,,I+T,Ti/Zr/Hf是三重战略元素簇，各有独特不可替代功能位：Ti是轻量化极端工况材料（投资时钟）；Zr是唯一可用于水冷核反应堆包壳的金属（核复兴催化剂）；Hf是先进制程芯片的不可绕过的物理约束（战术时钟，年产80吨是全球芯片文明的供应安全脆弱点）。,Cluster
CL_O_Cr_Mo_W_V_Nb_Ta,ONTOLOGY,Cr_Mo_W_V_Nb_Ta,难熔/高性能合金元素（Cr/Mo/W/V/Nb/Ta）,COMPRESSED,"Cr,Mo,W,V,Nb,Ta",⬟,n=2 l=2 m=极端工况/精密电子 s=-0.5,,I+T,Cr/Mo/W/V/Nb/Ta是极端工况和精密电子的战略元素族群，不同元素时钟差异大。最值得优先关注：V液流电池（投资时钟，N_trigger距触发22倍）、Ta供应链安全（刚果金地缘约束）、以及W硬质合金（被美国DoD指定为最高优先级关键矿物）。,Cluster
CL_O_PGM,ONTOLOGY,PGM,铂族元素（Pt/Pd/Rh/Ru/Ir）,COMPRESSED,"Pt,Pd,Rh,Ru,Ir",◇,n=3 l=1 m=催化/电化学 s=-0.5,,I+T,铂族元素在催化功能位的不可替代性世界第一，但需求端正在经历结构性重组：EV替代燃油车（减少Pd/Rh需求）与H₂经济兴起（增加Pt/Ir需求）同步发生。Ir是最值得战略关注的铂族元素——当前全球年产仅7吨，PEM绿氢的规模化将在2027-2030年触发严重供应瓶颈。,Cluster
CL_O_Ag_Au,ONTOLOGY,Ag_Au,银金（Ag/Au）,COMPRESSED,"Ag,Au",◈,n=3 l=0 m=精密电子/光伏/储值 s=-0.5,,I,Ag在光伏银浆功能位处于投资时钟与技术替代的交汇点——2024-2027年是银浆需求峰值期，之后铜浆逐步蚕食市场份额；Au在工业电子场景持续萎缩，但货币/储值功能和高可靠性军用场景维持稳定需求。光伏银浆企业（贺利氏/杜邦/苏州固锝）的技术路线选择是当前最值得跟踪的战略信号。,Cluster
CL_O_P_F,ONTOLOGY,P_F,磷氟（P/F）,COMPRESSED,"P,F",⬢,n=3 l=1 m=电池化工/半导体制程 s=+0.5→-0.5,,I+T,P/F是电池化工和半导体制程的关键配位元素，当前最重要的战略信号是双重的：萤石中国出口管制（供应侧约束）+PFAS欧盟监管（需求侧替代驱动）共同压缩含氟产品的战略窗口。最值得关注的价值洼地：PFAS替代材料研发（监管驱动的市场结构重组）和电子级HF提纯能力（半导体供应链核心）。,Cluster
CL_O_Zn_Sn_Pb,ONTOLOGY,Zn_Sn_Pb,锌锡铅（Zn/Sn/Pb）,COMPRESSED,"Zn,Sn,Pb",⬡,n=1 l=0 m=基础工业/电子制造 s=+0.5→-0.5,,C→I,Zn/Sn/Pb是成熟工业元素簇，各自面临不同的战略态势：Zn（文明时钟，防腐需求稳定）；Sn（投资时钟，EV/AI PCB需求增长+缅甸供应风险）；Pb（文明时钟转衰退，监管+锂电替代是确定性趋势）。Sn是三者中唯一具有近期投资价值的元素。,Cluster
CL_O_Mg_Ca,ONTOLOGY,Mg_Ca,镁钙（Mg/Ca）,COMPRESSED,"Mg,Ca",◇,n=1 l=0 m=轻量化/冶金辅料 s=+0.5,,I,Mg是被严重低估的供应链安全脆弱点——中国90%产量垄断已在2021年造成真实产业冲击。轻量化需求增长和地缘脱钩双重驱动下，非中国Mg冶炼产能建设是投资价值所在。Ca为文明级别化工基础元素，无战略关注需要。,Cluster
CL_O_O_N,ONTOLOGY,O_N,氧氮（O/N）,COMPRESSED,"O,N",⬡,n=2 l=1 m=工业气体/功能陶瓷 s=+0.5,,C,O/N是工业化文明的气态基础元素，资源无约束，价值在于服务体系（工业气体公司的护城河是供气系统认证+规模经济，不是元素稀缺）。战略分析重心不在O/N本身，而在其形成的功能化合物：HfO₂（在Hf处已分析）和GaN（在Ga处已分析）。,Cluster
CL_G_C01_H,GRAPH,C01_H,H  氢,EXPANDED,H,,1s¹：最小离子（H⁺=质子，无电子云）；极强共价键（H-H 436kJ/mol）；独特量子隧穿效应,第1周期，第1族，s区；最轻元素,INVESTMENT,投资时钟：2027-2032年是绿氢-灰氢成本交叉窗口；关键卡点是Ir需求（PEM）和绿电成本,Cluster
CL_G_C02_C,GRAPH,C02_C,C  碳,EXPANDED,C,,sp/sp²/sp³三种杂化；四个共价键；碳链无限延伸能力；π电子体系导电,第2周期，第14族，p区非金属,CIVILIZATION,文明时钟整体；局部Si负极替代石墨的趋势是中期结构性变化，碳纤维高端材料是持续价值高地,Cluster
CL_G_C03_NO,GRAPH,C03_NO,N / O  氮·氧,EXPANDED,"N,O",,N：[He]2s²2p³，三键N≡N（键能945kJ/mol，惰性之源）；O：[He]2s²2p⁴，高电负性（3.44）,第2周期，第15/16族，p区非金属,CIVILIZATION,N/O本体文明时钟；GaN功率器件（依赖N）在设备制造和外延技术上是典型战术-投资时钟交叉,Cluster
CL_G_C04_AL,GRAPH,C04_AL,Al  铝,EXPANDED,Al,,[Ne]3s²3p¹；铝的FCC结构；极易形成致密Al₂O₃保护层（自钝化）,第3周期，第13族，p区金属,CIVILIZATION,文明时钟；局部投资时钟：绿铝产能（水电铝/光伏铝）和高端航空铝合金是确定性价值区,Cluster
CL_G_C05_FE,GRAPH,C05_FE,Fe  铁,EXPANDED,Fe,,[Ar]3d⁶4s²：5个3d未配对电子（铁磁性之源）；多价态Fe⁰/Fe²⁺/Fe³⁺；BCC/FCC相变,第4周期，第8族，d区过渡金属,CIVILIZATION,文明时钟（资源）+投资时钟（氢冶金路线切换）；取向硅钢和LFP正极是当前最高价值区,Cluster
CL_G_C06_PF,GRAPH,C06_PF,P / F  磷·氟,EXPANDED,"P,F",,P：[Ne]3s²3p³，三键和五键；F：[He]2s²2p⁵，最高电负性（3.98），C-F键世界最强共价键（544kJ/mol）,第3周期第15族（P）/第17族（F）；p区非金属,INVESTMENT,P/F复合投资时钟：磷化工精细化（LFP正极配套）和含氟材料PFAS替代是两个确定性价值节点,Cluster
CL_G_C07_TIZRHF,GRAPH,C07_TIZRHF,Ti / Zr / Hf  钛·锆·铪,EXPANDED,"Ti,Zr,Hf",,钛[Ar]3d²4s²；锆[Kr]4d²5s²；铪[Xe]4f¹⁴5d²6s²；同族d轨道填充模式相似，性质递变,第4/5周期，第4族，d区过渡金属,INVESTMENT,三位一体投资时钟：Ti（航空复苏），Zr（核电复兴），Hf（先进制程卡脖子）；Hf最为紧迫,Cluster
CL_G_C08_REFRACTORY,GRAPH,C08_REFRACTORY,Cr/Mo/W/V/Nb/Ta  高熔点强化族,EXPANDED,"Cr,Mo,W,V,Nb,Ta",,d轨道半充满至充满前；高熔点（W=3422°C世界最高）；强d-d金属键；多价态,第4-6周期，第5-7族，d区过渡金属,INVESTMENT,整体投资时钟；W/Ta已具战术时钟特征（管制已触发）；V液流电池是5年内最清晰的增量需求,Cluster
CL_G_C09_MGCA,GRAPH,C09_MGCA,Mg / Ca  镁·钙,EXPANDED,"Mg,Ca",,Mg [Ne]3s²；Ca [Ar]4s²；失去2个s电子形成+2价；Mg是最轻的结构金属,第3周期（Mg）/第4周期（Ca），第2族，s区碱土金属,CIVILIZATION,文明时钟：Mg/Ca无稀缺；Mg电池如果技术突破（2030+）将升级为投资时钟,Cluster
CL_G_C10_AGAU,GRAPH,C10_AGAU,Ag / Au  银·金,EXPANDED,"Ag,Au",,Ag [Kr]4d¹⁰5s¹；Au [Xe]4f¹⁴5d¹⁰6s¹；满d轨道使化学稳定性极高；Au的相对论效应（金的黄色之源）,第5/6周期，第11族，d区贵金属,INVESTMENT,Ag投资时钟：光伏装机拉动需求增长vs低银化技术替代，两个方向赛跑决定窗口长短；Au持续金融+高可靠电子双重属性,Cluster
CL_G_C11_PGM,GRAPH,C11_PGM,Pt / Pd / Rh / Ru / Ir  铂族,EXPANDED,"Pt,Pd,Rh,Ru,Ir",,均为满d轨道或接近满d；表面电子结构使其成为最佳催化剂；极高熔点和化学稳定性,第5/6周期，第8-10族，d区贵金属,INVESTMENT,Ir已进入战术时钟（供需矛盾清晰可见）；Pd/Rh处于需求下行通道（EV替代）；差异化策略：增持Ir/Ru，审慎Pt/Pd,Cluster
CL_G_C12_ZNSNPB,GRAPH,C12_ZNSNPB,Zn / Sn / Pb  锌·锡·铅,EXPANDED,"Zn,Sn,Pb",,Zn [Ar]3d¹⁰4s²；Sn [Kr]4d¹⁰5p²；Pb [Xe]4f¹⁴5d¹⁰6p²；满d轨道；Sn两种同素异形体（白锡/灰锡）,第4/5周期，p/d区边界金属；低熔点活泼金属,CIVILIZATION,文明时钟整体；Pb监管收紧是不可逆趋势；Zn液流电池2025-2030年有局部投资时钟窗口,Cluster
CL_G_C13_SCLS,GRAPH,C13_SCLS,S / Cl  硫·氯,EXPANDED,"S,Cl",,S [Ne]3s²3p⁴；Cl [Ne]3s²3p⁵；S多价态(0/-2/+4/+6)；Cl的强氧化性和成盐能力,第3周期，第16/17族，p区非金属,CIVILIZATION,文明时钟；关注长期：碳中和降低石化脱硫副产S→未来S可能趋紧；Li-S电池是10+年期的技术期权,Cluster
CL_G_C14_UTHF,GRAPH,C14_UTHF,U / Th  铀·钍,EXPANDED,"U,Th",,U [Rn]5f³6d¹7s²；Th [Rn]6d²7s²；5f轨道决定核裂变特性；U-235临界质量约52kg,第7周期，锕系，f区；放射性元素,INVESTMENT,U投资时钟：2025-2030年铀现货+长协价格将显著上涨；Th是15年+期权；关注浓缩能力（HALEU产能瓶颈）,Cluster
CL_G_C15_REE,GRAPH,C15_REE,稀土  Nd/Pr/Dy/Tb/La/Ce,EXPANDED,"Nd,Pr,Dy,Tb,La,Ce",,4f轨道1-14个电子；4f轨道未配对电子产生强磁各向异性（NdFeB之源）；相邻元素化学性质极接近（分离困难之根源）,第6周期，57-71号，f区镧系,TACTIC,Dy/Tb：战术时钟（已触发）+投资时钟（3-5年需求拐点）；Nd/Pr：投资时钟（3-7年）；La/Ce：文明时钟,Cluster
CL_G_C16_GAGEIN,GRAPH,C16_GAGEIN,Ga / Ge / In  战略小金属,EXPANDED,"Ga,Ge,In",,Ga [Ar]3d¹⁰4s²4p¹；Ge [Ar]3d¹⁰4s²4p²；In [Kr]4d¹⁰5s²5p¹；III/IV族化合物半导体特性,第4/5周期，p区小金属/类金属,TACTIC,Ga/Ge/In：战术时钟全部触发（管制已实施）；替代供应链2027-2028年前难以替代中国产能；关注非中国Ga/Ge提炼产能建设,Cluster
CL_G_C17_LINA,GRAPH,C17_LINA,Li / Na  储能离子,EXPANDED,"Li,Na",,Li [He]2s¹；Na [Ne]3s¹；失去1个s电子形成+1价；Li⁺半径最小（0.76Å），迁移率最高,第2/3周期，第1族，s区碱金属,INVESTMENT,Li：投资时钟（固态电池TRL拐点3-7年）；当前Li价低位是布局固态电池产业链的窗口期,Cluster
CL_G_C18_CU,GRAPH,C18_CU,Cu  铜,EXPANDED,Cu,,[Ar]3d¹⁰4s¹；满d轨道→化学稳定；1个4s自由电子→最佳导体,第4周期，第11族，d区过渡金属,CIVILIZATION,文明时钟；AI数据中心在2025-2030年是Cu需求的超预期增长引擎；关注高端铜箔（锂电）和靶材（半导体）的工艺价值高地,Cluster
CL_G_C19_NICOMN,GRAPH,C19_NICOMN,Ni / Co / Mn  电池三元素,EXPANDED,"Ni,Co,Mn",,Ni [Ar]3d⁸4s²；Co [Ar]3d⁷4s²；Mn [Ar]3d⁵4s²；多价态；Mn 3d半充满（特殊稳定性）,第4周期，第8-10族，d区过渡金属,INVESTMENT,Ni：投资时钟（高镍化+固态电池双驱动）；Co：技术替代触发（降Co趋势不可逆）；Mn：投资时钟（LMFP新增量）,Cluster
CL_G_C20_SI,GRAPH,C20_SI,Si  硅,EXPANDED,Si,,[Ne]3s²3p²；sp³四价键；禁带1.12eV（室温最优半导体）；SiO₂-Si界面缺陷态密度极低,第3周期，第14族，p区类金属,CIVILIZATION,文明时钟（资源）；先进制程晶圆+EUV设备是战术-投资时钟交叉点（设备管制非材料稀缺）,Cluster
CL_O_S_Cl,ONTOLOGY_SUPPLEMENT,S_Cl,硫氯（S/Cl）,COMPRESSED_SUPPLEMENT,"S,Cl",,补簇自 graph family；V2.2 以元素集合回填 ontology 压缩簇,S / Cl  硫·氯,CIVILIZATION,V2.2 backfill from C13_SCLS: 文明时钟；关注长期：碳中和降低石化脱硫副产S→未来S可能趋紧；Li-S电池是10+年期的技术期权,Cluster
CL_O_U_Th,ONTOLOGY_SUPPLEMENT,U_Th,铀钍（U/Th）,COMPRESSED_SUPPLEMENT,"U,Th",,补簇自 graph family；V2.2 以元素集合回填 ontology 压缩簇,U / Th  铀·钍,INVESTMENT,V2.2 backfill from C14_UTHF: U投资时钟：2025-2030年铀现货+长协价格将显著上涨；Th是15年+期权；关注浓缩能力（HALEU产能瓶颈）,Cluster
CL_O_REE,ONTOLOGY_SUPPLEMENT,REE,稀土（Nd/Pr/Dy/Tb/La/Ce）,COMPRESSED_SUPPLEMENT,"Nd,Pr,Dy,Tb,La,Ce",,补簇自 graph family；V2.2 以元素集合回填 ontology 压缩簇,稀土  Nd/Pr/Dy/Tb/La/Ce,TACTIC,V2.2 backfill from C15_REE: Dy/Tb：战术时钟（已触发）+投资时钟（3-5年需求拐点）；Nd/Pr：投资时钟（3-7年）；La/Ce：文明时钟,Cluster
CL_O_Ga_Ge_In,ONTOLOGY_SUPPLEMENT,Ga_Ge_In,战略小金属（Ga/Ge/In）,COMPRESSED_SUPPLEMENT,"Ga,Ge,In",,补簇自 graph family；V2.2 以元素集合回填 ontology 压缩簇,Ga / Ge / In  战略小金属,TACTIC,V2.2 backfill from C16_GAGEIN: Ga/Ge/In：战术时钟全部触发（管制已实施）；替代供应链2027-2028年前难以替代中国产能；关注非中国Ga/Ge提炼产能建设,Cluster
CL_O_Li_Na,ONTOLOGY_SUPPLEMENT,Li_Na,储能离子（Li/Na）,COMPRESSED_SUPPLEMENT,"Li,Na",,补簇自 graph family；V2.2 以元素集合回填 ontology 压缩簇,Li / Na  储能离子,INVESTMENT,V2.2 backfill from C17_LINA: Li：投资时钟（固态电池TRL拐点3-7年）；当前Li价低位是布局固态电池产业链的窗口期,Cluster
CL_O_Cu,ONTOLOGY_SUPPLEMENT,Cu,铜（Cu）,COMPRESSED_SUPPLEMENT,Cu,,补簇自 graph family；V2.2 以元素集合回填 ontology 压缩簇,Cu  铜,CIVILIZATION,V2.2 backfill from C18_CU: 文明时钟；AI数据中心在2025-2030年是Cu需求的超预期增长引擎；关注高端铜箔（锂电）和靶材（半导体）的工艺价值高地,Cluster
CL_O_Ni_Co_Mn,ONTOLOGY_SUPPLEMENT,Ni_Co_Mn,电池三元素（Ni/Co/Mn）,COMPRESSED_SUPPLEMENT,"Ni,Co,Mn",,补簇自 graph family；V2.2 以元素集合回填 ontology 压缩簇,Ni / Co / Mn  电池三元素,INVESTMENT,V2.2 backfill from C19_NICOMN: Ni：投资时钟（高镍化+固态电池双驱动）；Co：技术替代触发（降Co趋势不可逆）；Mn：投资时钟（LMFP新增量）,Cluster
CL_O_Si,ONTOLOGY_SUPPLEMENT,Si,硅（Si）,COMPRESSED_SUPPLEMENT,Si,,补簇自 graph family；V2.2 以元素集合回填 ontology 压缩簇,Si  硅,CIVILIZATION,V2.2 backfill from C20_SI: 文明时钟（资源）；先进制程晶圆+EUV设备是战术-投资时钟交叉点（设备管制非材料稀缺）,Cluster
