source_id,file_name,source_role,parse_status,integrated_tables,note,external_source_url,publisher,publication_date,source_authority_score,label
SRC_001,（元素功能本位）ontology_data.js,ONTOLOGY,PARSED_OK,"CLUSTER, FUNCTION_POSITION, FP_SUB_*, SUPPLY_PROFILE, BARRIER_PROFILE, STRATEGIC_CLOCK, STRATEGIC_SIGNAL",结构化程度最高，含typed substitutability与strategic signals,,,,,Source
SRC_002,（元素功能图谱1）gen_fn_map.js,GRAPH_DOC_LAYER,PARSED_WITH_FIX,"CLUSTER, FUNCTION_POSITION, PROCESS_CONSTRAINT, STRATEGIC_CLOCK, STRATEGIC_SIGNAL",原始脚本存在1处单引号冲突，导入前已修正为可解析副本；不建议作为长期source of truth,,,,,Source
SRC_003,（元素功能图谱2）gen_fn_map2.js,GRAPH_DOC_LAYER_EXTENSION,PARSED_OK,"CLUSTER, FUNCTION_POSITION, PROCESS_CONSTRAINT, STRATEGIC_CLOCK, STRATEGIC_SIGNAL",作为graph part 2追加10个cluster,,,,,Source
SRC_004,element_material_device_industry_matrix.xlsx,LEGACY_MASTER,LOADED_OK,ELEMENT/MATERIAL/DEVICE/SYSTEM/INDUSTRY_NODE/REL_*,作为V1骨架层保留，并在V2中扩展,,,,,Source
SRC_005,V2.2 ontology supplement backfill,ONTOLOGY_SUPPLEMENT,COMPLETED,"CLUSTER, FUNCTION_POSITION, SUPPLY_PROFILE, BARRIER_PROFILE, STRATEGIC_CLOCK, STRATEGIC_SIGNAL",把 8 个 pending family 正式补入 ontology 层；来源仍主要为 graph narrative backfill,,,,,Source
SRC_006,V2.3 typed substitution deepening,ONTOLOGY_TYPED_SUPPLEMENT,COMPLETED,"FP_SUB_MATERIAL, FP_SUB_ROUTE, FP_SUB_SYSTEM",把 8 个补簇继续 typed 化为结构化替代记录，可用于规则推理,,,,,Source
SRC_007,V2.4 source-grounded extension,EVIDENCE_GROUNDING,COMPLETED,"FP_SUB_MATERIAL, FP_SUB_ROUTE, FP_SUB_SYSTEM",为 typed substitutions 加入 source_file / source_ref_id / evidence_type / confidence / date,,,,,Source
SRC_EXT_001,European Commission CBAM official page,EXT_REG_POLICY,WEB_VERIFIED,"STRATEGIC_SIGNAL, STRATEGIC_CLOCK",CBAM definitive regime starts 1 Jan 2026; used for Fe/Al/H regulatory clock and signals.,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en,European Commission,2026-01-14,0.96,Source
SRC_EXT_002,MOFCOM announcement on gallium and germanium export controls,EXT_EXPORT_CONTROL,WEB_VERIFIED,"STRATEGIC_SIGNAL, STRATEGIC_CLOCK",Official export control notice for gallium/germanium related items.,https://www.mofcom.gov.cn/zcfb/dwmygl/art/2023/art_52b9a321087f402bb3d310d18b07967e.html,Ministry of Commerce of the PRC,2023-07-03,0.97,Source
SRC_EXT_003,MOFCOM graphite export control announcement,EXT_EXPORT_CONTROL,WEB_VERIFIED,"STRATEGIC_SIGNAL, STRATEGIC_CLOCK",Official announcement on optimized adjustment of graphite export control measures.,https://exportcontrol.mofcom.gov.cn/article/zcfg/gnzcfg/zcfggzqd/202310/912.html,Ministry of Commerce of the PRC,2023-10-20,0.96,Source
SRC_EXT_004,Rare Earth Management Regulations of China,EXT_REG_POLICY,WEB_VERIFIED,"STRATEGIC_SIGNAL, STRATEGIC_CLOCK",Official rare earth regulation effective 1 Oct 2024.,https://www.mee.gov.cn/zcwj/gwywj/202407/t20240701_1080564.shtml,State Council of the PRC / China Government,2024-07-01,0.97,Source
SRC_EXT_005,MOFCOM rare earth technology export control announcement,EXT_EXPORT_CONTROL,WEB_VERIFIED,"STRATEGIC_SIGNAL, STRATEGIC_CLOCK",Official 2025 export control notice for rare earth related technologies and materials.,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_6cb42957741440c6984de696b70df9ae.html,Ministry of Commerce of the PRC,2025-10-09,0.97,Source
SRC_EXT_006,DOE Clean Hydrogen Production Tax Credit (45V) Resources,EXT_INCENTIVE_POLICY,WEB_VERIFIED,"STRATEGIC_SIGNAL, STRATEGIC_CLOCK",DOE official 45V resource page stating up to $3.00/kg clean hydrogen incentive.,https://www.energy.gov/articles/clean-hydrogen-production-tax-credit-45v-resources,U.S. Department of Energy,2024-01-01,0.94,Source
