rel_id,start_id,end_id,start_label,end_label,relationship_type,original_relation_type,role_label,weight,substitutability,note
RL_1001,MT_LFP_CATHODE,DV_LFP_STORAGE_CELL,Material,Device,USED_IN,USED_IN,CATHODE,5,LOW,LFP是储能电芯主流正极
RL_1002,MT_GRAPHITE_ANODE,DV_LFP_STORAGE_CELL,Material,Device,USED_IN,USED_IN,ANODE,5,MEDIUM,石墨负极
RL_1003,MT_AL_FOIL,DV_LFP_STORAGE_CELL,Material,Device,USED_IN,USED_IN,CATHODE_CURRENT_COLLECTOR,5,LOW,正极集流体
RL_1004,MT_COPPER_FOIL,DV_LFP_STORAGE_CELL,Material,Device,USED_IN,USED_IN,ANODE_CURRENT_COLLECTOR,5,LOW,负极集流体
RL_1005,MT_NCM_CATHODE,DV_LI_ION_CELL_EV,Material,Device,USED_IN,USED_IN,CATHODE,5,MEDIUM,高能量密度动力电芯常用
RL_1006,MT_GRAPHITE_ANODE,DV_LI_ION_CELL_EV,Material,Device,USED_IN,USED_IN,ANODE,5,MEDIUM,动力电芯成熟负极
RL_1007,MT_SIC_WAFER,DV_SIC_MOSFET,Material,Device,USED_IN,USED_IN,SEMICONDUCTOR_SUBSTRATE,5,LOW,SiC功率器件基底
RL_1008,MT_GAN_EPI,DV_GAN_CHARGER_CHIP,Material,Device,USED_IN,USED_IN,ACTIVE_LAYER,5,LOW,GaN快充器件有源层
RL_1009,MT_SINGLE_CRYSTAL_SI,DV_CPU_LOGIC,Material,Device,USED_IN,USED_IN,LOGIC_SUBSTRATE,5,LOW,逻辑芯片基底
RL_1010,MT_SI_PV_WAFER,DV_PV_CELL,Material,Device,USED_IN,USED_IN,PHOTOACTIVE_SUBSTRATE,5,LOW,晶硅电池片基础
RL_1011,MT_NDFEB_MAGNET,DV_EV_DRIVE_MOTOR,Material,Device,USED_IN,USED_IN,PERMANENT_MAGNET,5,LOW,高性能电驱磁材
RL_1012,MT_NDFEB_MAGNET,DV_WIND_PM_GENERATOR,Material,Device,USED_IN,USED_IN,PERMANENT_MAGNET,5,LOW,永磁风机关键材料
RL_1013,MT_ELECTRICAL_STEEL,DV_TRANSFORMER,Material,Device,USED_IN,USED_IN,MAGNETIC_CORE,5,LOW,变压器铁芯材料
RL_1014,MT_CU_WIRE_ROD,DV_TRANSFORMER,Material,Device,USED_IN,USED_IN,WINDING,5,LOW,变压器绕组
RL_1015,MT_PT_CATALYST,DV_FUEL_CELL_STACK,Material,Device,USED_IN,USED_IN,CATALYST_LAYER,5,LOW,燃料电池催化层
RL_1016,MT_IR_ANODE_CATALYST,DV_PEM_ELECTROLYZER_STACK,Material,Device,USED_IN,USED_IN,ANODE_CATALYST,5,LOW,PEM电解槽关键催化层
RL_1017,MT_TI_ALLOY,DV_PEM_ELECTROLYZER_STACK,Material,Device,USED_IN,USED_IN,CORROSION_RESISTANT_STRUCTURE,4,MEDIUM,耐腐蚀结构件
RL_1018,MT_SI_PV_WAFER,DV_PV_MODULE,Material,Device,USED_IN,USED_IN,CELL_INPUT,4,LOW,组件由电池片封装构成
