rel_id,start_id,end_id,start_label,end_label,relationship_type,original_relation_type,role_label,weight,substitutability,note
RL_2001,DV_LI_ION_CELL_EV,SY_EV,Device,System,PART_OF,DEPLOYED_IN,TRACTION_ENERGY_STORAGE,5,LOW,动力电芯进入整车
RL_2002,DV_SIC_MOSFET,SY_EV,Device,System,PART_OF,DEPLOYED_IN,MAIN_INVERTER,5,MEDIUM,主逆变器与OBC功率器件
RL_2003,DV_EV_DRIVE_MOTOR,SY_EV,Device,System,PART_OF,DEPLOYED_IN,TRACTION_DRIVE,5,LOW,电驱核心
RL_2004,DV_LFP_STORAGE_CELL,SY_BESS,Device,System,PART_OF,DEPLOYED_IN,GRID_STORAGE,5,LOW,电网储能主流路线
RL_2005,DV_SIC_MOSFET,SY_BESS,Device,System,PART_OF,DEPLOYED_IN,PCS_POWER_STAGE,4,MEDIUM,储能变流器
RL_2006,DV_CPU_LOGIC,SY_DATA_CENTER,Device,System,PART_OF,DEPLOYED_IN,COMPUTE_CORE,5,LOW,服务器核心芯片
RL_2007,DV_SIC_MOSFET,SY_DATA_CENTER,Device,System,PART_OF,DEPLOYED_IN,POWER_CONVERSION,4,MEDIUM,高效供配电
RL_2008,DV_PV_CELL,SY_PV_FARM,Device,System,PART_OF,DEPLOYED_IN,GENERATION_UNIT,5,LOW,电池片为发电单元
RL_2009,DV_PV_MODULE,SY_PV_FARM,Device,System,PART_OF,DEPLOYED_IN,GENERATION_MODULE,5,LOW,组件构成电站
RL_2010,DV_WIND_PM_GENERATOR,SY_WIND_FARM,Device,System,PART_OF,DEPLOYED_IN,GENERATION_MACHINE,5,LOW,风能转电能
RL_2011,DV_PEM_ELECTROLYZER_STACK,SY_HYDROGEN_PLANT,Device,System,PART_OF,DEPLOYED_IN,HYDROGEN_PRODUCTION,5,LOW,制氢核心单元
RL_2012,DV_FUEL_CELL_STACK,SY_HYDROGEN_PLANT,Device,System,PART_OF,DEPLOYED_IN,POWER_CONVERSION,3,MEDIUM,也可作为氢发电终端
RL_2013,DV_EV_DRIVE_MOTOR,SY_INDUSTRIAL_ROBOT,Device,System,PART_OF,DEPLOYED_IN,SERVO_DRIVE,4,MEDIUM,伺服/电机控制
