signal_id,source_origin,cluster_key,signal_type,signal_strength,signal_desc,source_ref_id,external_source_url,evidence_type,evidence_detail,evidence_date,last_reviewed,confidence_score,confidence_band,freshness_penalty,impact_direction,time_sensitivity_level,impacted_scope,label
SIG_O_Fe_1,ONTOLOGY,CL_O_Fe,TECH,M,氢还原炼钢TRL 6-7，HYBRIT（瑞典）已试产；DRI+EAF路线加速,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,铁/钢;绿色钢铁;取向硅钢;风电与储能结构件,StrategicSignal
SIG_O_Fe_2,ONTOLOGY,CL_O_Fe,REG,S,EU碳边境调节税（CBAM）2026年全面生效，高碳钢铁面临成本压力,SRC_EXT_001,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en,GOV_REPORT,European Commission::European Commission CBAM official page,2026-01-14,2026-03-16,0.96,HIGH,0.0,NEGATIVE,HIGH,铁/钢;绿色钢铁;取向硅钢;风电与储能结构件,StrategicSignal
SIG_O_Fe_3,ONTOLOGY,CL_O_Fe,DEMAND,M,新能源基础设施（风电塔架/储能外壳）带来取向硅钢需求增长,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,POSITIVE,MEDIUM,铁/钢;绿色钢铁;取向硅钢;风电与储能结构件,StrategicSignal
SIG_O_Al_1,ONTOLOGY,CL_O_Al,DEMAND,S,EV动力电池铝箔需求：每GWh约800吨，全球年装机量1000+GWh→年需求80万吨+,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,铝;电解铝;铝箔;轻量化与光伏边框,StrategicSignal
SIG_O_Al_2,ONTOLOGY,CL_O_Al,REG,M,CBAM对高能耗铝产品的碳税压力；绿铝溢价形成,SRC_EXT_001,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en,GOV_REPORT,European Commission::European Commission CBAM official page,2026-01-14,2026-03-16,0.96,HIGH,0.0,MIXED,HIGH,铝;电解铝;铝箔;轻量化与光伏边框,StrategicSignal
SIG_O_Al_3,ONTOLOGY,CL_O_Al,GEO,W,中国电解铝对俄罗斯/澳大利亚铝土矿依赖，地缘摩擦风险低但存在,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,NEGATIVE,HIGH,铝;电解铝;铝箔;轻量化与光伏边框,StrategicSignal
SIG_O_C_1,ONTOLOGY,CL_O_C,DEMAND,S,EV 800V平台普及推动SiC需求2024-2028年CAGR >30%,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.65,MEDIUM,0.0,UNCERTAIN,MEDIUM,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,StrategicSignal
SIG_O_C_2,ONTOLOGY,CL_O_C,TECH,M,Si负极（Si@C）TRL提升加速，石墨负极市场份额面临结构性压力（5-10年),SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,UNCERTAIN,MEDIUM,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,StrategicSignal
SIG_O_C_3,ONTOLOGY,CL_O_C,REG,M,中国天然石墨加入关键矿物出口管制范围讨论中,SRC_EXT_003|SRC_EXT_010,https://exportcontrol.mofcom.gov.cn/article/zcfg/gnzcfg/zcfggzqd/202310/912.html | https://www.energy.gov/cmm/what-are-critical-minerals-and-materials,MULTI_SOURCE,Ministry of Commerce of the PRC::MOFCOM graphite export control announcement ; U.S. Department of Energy::DOE critical materials list page,2025-03-19,2026-03-16,0.96,HIGH,0.0,NEGATIVE,HIGH,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,StrategicSignal
SIG_O_C_4,ONTOLOGY,CL_O_C,TECH,S,氢还原炼钢TRL 6-7，加速冶金焦炭需求长期下行,SRC_001,,INTERNAL_STRUCTURED_SOURCE,Internal ONTOLOGY knowledge package; no external link attached in V2.5-B,2026-03-16,2026-03-16,0.62,MEDIUM,0.0,NEGATIVE,MEDIUM,石墨/SiC/碳纤维;负极;功率半导体;冶金焦,StrategicSignal
